id,name,che_number,region_town,region_canton,regionId,recipientIds,grantIds,scope1Ids,scope2Ids,innochainIds,educhainIds,coords,website
2,Walter Hochstrasser-Stiftung,CHE-110.377.406,Zürich,Zürich,2,1,4,2,2,,5,"47.3765359,8.5480928",
3,Fondation iDrate,CHE-115.681.544,Conches,Genève,5,1,"2,4","1,2",2,"1,2,3,4,5,6",8,"46.1876631,6.1763323",
4,Stiftung Emilia Guggenheim-Schnurr der Naturforschenden Gesellschaft in Basel,CHE-101.985.541,Basel,Basel-Stadt,2,"1,2,3,4",2,1,"1,2","1,2",,"47.5566907,7.5787092",http://www.ngib.ch/stiftung-egs/
5,Stiftung Gandhi Hilfswerk Schweiz,CHE-114.260.370,Zürich,Zürich,5,"1,2","1,2,4",2,"1,2",,"4,5,6","47.3785825,8.4779987",
6,Sandoz - Fondation de Famille,CHE-110.403.618,Glarus,Glarus,4,"1,2,4",,"1,2","1,2","2,3,4,5,6","5,6,8","47.0395719,9.0687689",http://www.sandozfondation.ch/fr
7,Foundation - Global Risk Forum GRF Davos,CHE-114.620.712,Davos Platz,Graubünden,5,"1,2,3,4",2,"1,2",2,2,8,"46.7926247,9.8191515",http://grforum.org/
8,INSEL Foundation,CHE-113.309.832,Bern,Bern,4,"1,2,3,4","2,4",1,"1,2","2,3,4,5,6",,"46.9477087,7.4255497",
9,Fondation pour le développement durable des régions de montagne,CHE-109.398.637,Sion,Valais,5,"1,2,3,4",2,"1,2",2,1,8,"46.2351892,7.3552392",http://www.fddm.ch/fr/
10,BORNEO TROPICAL RAINFOREST FOUNDATION,CHE-110.530.211,Vernier,Genève,5,"1,2,3,4",1,"1,2",2,"1,2,3,4,5,6",8,"46.2141395,6.1111637",
11,Fondation Inartis,CHE-234.358.825,Savièse,Valais,4,"1,2,3,4",3,"1,2","1,2","1,2,3,4,5,6",8,"46.2673436,7.3562613",http://inartis.ch/
12,Stiftung Reiken-Patronat für akademische Nachdiplom- und Doktorandenstudien,CHE-101.308.263,Langnau am Albis,Zürich,5,"1,2","2,4",2,"1,2",,5,"47.2935950,8.5363970",
13,Stiftung zur Förderung der wirtschaftlichen Entwicklung von Glarus Süd,CHE-109.380.672,Schwanden GL,Glarus,2,4,2,1,"1,2","4,5,6",,"46.9952929,9.0685627",http://www.glarus.ch/xml_1/internet/de/application/d237/d262/f270.cfm
14,Thierry und Eliane Bollag-Strauss Stiftung,CHE-109.996.399,Zürich,Zürich,4,"1,2,3","1,2,4","1,2","1,2","1,2","2,3,4,5,6","47.3739646,8.5628804",
15,Stiftung Robert und Yvonne Peter-Aeby,CHE-111.654.703,Zürich,Zürich,4,"1,2,3","2,4",2,"1,2",,"4,5,6,7","47.3561744,8.5573416",
16,La Fondation Mondiale INSEAD (The INSEAD World Foundation),CHE-110.398.331,Genève,Genève,5,1,4,2,"1,2",,7,"46.1980968,6.1482733",https://www.insead.edu/give
17,SYNGENTA STIFTUNG FÜR NACHHALTIGE LANDWIRTSCHAFT,CHE-109.582.678,Basel,Basel-Stadt,5,"2,3,4","1,2",1,2,"2,3,4,5,6",,"47.5675554,7.6058069",https://www.syngentafoundation.org/
18,Fondazione Silvio Leoni,CHE-112.660.882,Riazzino,Ticino,5,1,"2,4","1,2",2,"1,2","5,6,7","46.1744390,8.8951150",
19,MDPI SUSTAINABILITY FOUNDATION,CHE-149.291.773,Basel,Basel-Stadt,5,1,5,1,2,1,,"47.5658293,7.5913505",http://wsforum.org/
20,"Stiftung-Eleonora-Susanna für den Natur-, Umwelt- und Tierschutz",CHE-110.413.120,Zürich,Zürich,5,"1,2,3","2,4",2,2,,"4,5,6,7","47.3627555,8.5527810",
21,Fondation Plenum,CHE-115.221.898,Genève,Genève,6,3,"2,3","1,2",2,1,8,"46.2024778,6.1613424",
22,Barramundi-Stiftung,CHE-299.888.241,Lengwil,Thurgau,5,"1,2,3,4","1,2,4",2,"1,2",,"2,3,4,5,6,7,8","47.6247891,9.1903801",
23,Wishdom International Foundation,CHE-113.691.922,Cham,Zug,5,"1,2,3,4",2,"1,2","1,2","1,2","1,2,3,4,5,6,7","47.1861207,8.4736495",
24,Stiftung zur Förderung der Trinkwasserqualität,CHE-110.096.491,Zürich,Zürich,5,"2,3,4",2,1,2,"1,2",,"47.3781412,8.5633116",
25,Stiftung Ambros Lüthi,CHE-183.003.611,Fribourg,Fribourg,4,1,2,"1,2",2,"1,2",5,"46.8177766,7.1729722",http://diuf.unifr.ch/al/de/node/32
26,Fondazione JAMINOR-INT.,CHE-149.050.666,Giubiasco,Ticino,5,"1,2,3,4",2,"1,2","1,2","1,2,3,4,5,6",8,"46.1821665,9.0262842",
27,Das hungernde Kind,CHE-110.394.155,Winterthur,Zürich,5,"1,2,3,4","2,4",1,"1,2","1,2",,"47.5086972,8.7256204",
28,Fondation d'impulsion technologique et économique (FITEC),CHE-113.677.804,Delémont,Jura,3,4,1,"1,2","1,2","2,3,4,5,6",8,"47.3673026,7.3435574",http://www.fitec.ch/
29,Gebert Rüf Stiftung,CHE-102.168.898,Zürich,Zürich,4,"2,4",2,1,"1,2","2,3,4,5,6",,"47.3675216,8.5547995",http://www.grstiftung.ch/de.html
30,SHIVA Stiftung,CHE-437.640.213,St. Gallen,St. Gallen,2,"2,3,4",1,"1,2",2,"1,2",8,"47.4237239,9.3728682",
31,UBS Stiftung für Soziales und Ausbildung,CHE-110.409.041,Zürich,Zürich,4,"1,3",2,2,"1,2",,"4,5,6,7","47.3719809,8.5381437",https://www.ubs.com/global/de/about_ubs/stiftungen/soziales.html
32,Hauser-Stiftung,CHE-110.172.229,Weggis,Luzern,4,"1,3","2,3,4",2,2,,8,"47.0390637,8.4427001",
33,Oikos - Stiftung für Oekonomie und Oekologie,CHE-110.383.217,St. Gallen,St. Gallen,3,1,2,"1,2",2,1,5,"47.4316121,9.3746170",http://www.iwoe.unisg.ch/de/institut/oikos
34,ICIMOD Stiftung,CHE-110.558.267,Bern,Bern,5,"2,3",2,"1,2","1,2","1,2","4,5,6","46.9474936,7.4449505",
35,Fonds vaudois du bois,CHE-110.205.975,Lausanne,Vaud,4,"1,2,3,4","1,2,3",2,2,,8,"46.5567716,6.6833176",
36,Fondation ImpactHope (Foundation ImpactHope),CHE-114.429.321,Bourguillon,Fribourg,5,3,2,2,"1,2",,8,"46.8006500,7.1771571",http://www.impacthope.net/index.php/fr/
37,Ypsomed Innovationsfonds,CHE-110.107.887,Burgdorf,Bern,2,4,"2,5",1,"1,2","3,4,5,6",,"47.0401198,7.6301580",http://www.innovationsfonds.ch/
